1.21849485e-02	0.00000000e+00	-2.43698969e-02	0.00000000e+00	1.21849485e-02	1.00000000e+00	3.18225464e+00	4.21157037e+00	2.68395705e+00	7.13105225e-01
1.07491564e-02	0.00000000e+00	-2.14983127e-02	0.00000000e+00	1.07491564e-02	1.00000000e+00	2.74736214e+00	3.58324104e+00	2.34344868e+00	7.29041353e-01
9.47711118e-03	0.00000000e+00	-1.89542224e-02	0.00000000e+00	9.47711118e-03	1.00000000e+00	2.23126121e+00	2.95690774e+00	1.92334340e+00	7.44258706e-01
8.35104684e-03	0.00000000e+00	-1.67020937e-02	0.00000000e+00	8.35104684e-03	1.00000000e+00	1.66926408e+00	2.42489650e+00	1.45308229e+00	7.58769128e-01
7.35497674e-03	0.00000000e+00	-1.47099535e-02	0.00000000e+00	7.35497674e-03	1.00000000e+00	1.09010671e+00	2.04134700e+00	9.57649780e-01	7.72587193e-01
6.47453884e-03	0.00000000e+00	-1.29490777e-02	0.00000000e+00	6.47453884e-03	1.00000000e+00	5.16040860e-01	1.82662234e+00	4.57223217e-01	7.85729730e-01
5.69685072e-03	0.00000000e+00	-1.13937014e-02	0.00000000e+00	5.69685072e-03	1.00000000e+00	-3.65773444e-02	1.77576343e+00	-3.26674592e-02	7.98215397e-01
5.01037451e-03	0.00000000e+00	-1.00207490e-02	0.00000000e+00	5.01037451e-03	1.00000000e+00	-5.56455610e-01	1.86762793e+00	-5.00682445e-01	8.10064302e-01
4.40479144e-03	0.00000000e+00	-8.80958288e-03	0.00000000e+00	4.40479144e-03	1.00000000e+00	-1.03646025e+00	2.07283374e+00	-9.39071436e-01	8.21297656e-01
3.87088566e-03	0.00000000e+00	-7.74177132e-03	0.00000000e+00	3.87088566e-03	1.00000000e+00	-1.47274228e+00	2.35974790e+00	-1.34303403e+00	8.31937476e-01
3.40043715e-03	0.00000000e+00	-6.80087431e-03	0.00000000e+00	3.40043715e-03	1.00000000e+00	-1.86395233e+00	2.69846343e+00	-1.71010616e+00	8.42006319e-01
2.98612323e-03	0.00000000e+00	-5.97224647e-03	0.00000000e+00	2.98612323e-03	1.00000000e+00	-2.21057003e+00	3.06306425e+00	-2.03960881e+00	8.51527052e-01
2.62142829e-03	0.00000000e+00	-5.24285657e-03	0.00000000e+00	2.62142829e-03	1.00000000e+00	-2.51435277e+00	3.43260369e+00	-2.33217516e+00	8.60522648e-01
2.30056131e-03	0.00000000e+00	-4.60112262e-03	0.00000000e+00	2.30056131e-03	1.00000000e+00	-2.77789719e+00	3.79121362e+00	-2.58935958e+00	8.69016020e-01
2.01838076e-03	0.00000000e+00	-4.03676152e-03	0.00000000e+00	2.01838076e-03	1.00000000e+00	-3.00430040e+00	4.12769106e+00	-2.81332424e+00	8.77029869e-01
1.77032628e-03	0.00000000e+00	-3.54065256e-03	0.00000000e+00	1.77032628e-03	1.00000000e+00	-3.19690582e+00	4.43482061e+00	-3.00659486e+00	8.84586569e-01
1.55235683e-03	0.00000000e+00	-3.10471366e-03	0.00000000e+00	1.55235683e-03	1.00000000e+00	-3.35911822e+00	4.70860867e+00	-3.17187562e+00	8.91708056e-01
1.36089472e-03	0.00000000e+00	-2.72178945e-03	0.00000000e+00	1.36089472e-03	1.00000000e+00	-3.49427405e+00	4.94753842e+00	-3.31191302e+00	8.98415751e-01
1.19277515e-03	0.00000000e+00	-2.38555030e-03	0.00000000e+00	1.19277515e-03	1.00000000e+00	-3.60555463e+00	5.15190485e+00	-3.42939925e+00	9.04730492e-01
1.04520075e-03	0.00000000e+00	-2.09040150e-03	0.00000000e+00	1.04520075e-03	1.00000000e+00	-3.69593202e+00	5.32325565e+00	-3.52690648e+00	9.10672481e-01
9.15700789e-04	0.00000000e+00	-1.83140158e-03	0.00000000e+00	9.15700789e-04	1.00000000e+00	-3.76813909e+00	5.46394247e+00	-3.60684511e+00	9.16261242e-01
8.02094526e-04	0.00000000e+00	-1.60418905e-03	0.00000000e+00	8.02094526e-04	1.00000000e+00	-3.82465708e+00	5.57677488e+00	-3.67143993e+00	9.21515596e-01
7.02458458e-04	0.00000000e+00	-1.40491692e-03	0.00000000e+00	7.02458458e-04	1.00000000e+00	-3.86771553e+00	5.66476366e+00	-3.72271950e+00	9.26453640e-01
6.15097012e-04	0.00000000e+00	-1.23019402e-03	0.00000000e+00	6.15097012e-04	1.00000000e+00	-3.89930052e+00	5.73093787e+00	-3.76251494e+00	9.31092738e-01
